sentence	sentence_id	locale	reason
通盤檢討	6e2815445085abaae8bdb84cfd05c806dc470910bc7357faae1c3eaabe5da38c	zh-TW	????
你今天喝水了嗎？	eaacb5f8c744ae6292b2daddd2f67943068d7f597fb1c1ae8f660aa629cbe200	zh-TW	???????
但這個鴻溝	26c4b872d3f777603376db0fc0eb9ec10dd6619465f5851f5ff64451d4a42e08	zh-TW	?????
我連第一代都沒玩多少	4746b5538108f305af2cc8e519e55a30a5c5f24890ef591ad07166737cbec904	zh-TW	??????????????
所最詬病的議題	c90756d7328ee29edfbb2f38fd2189fd14d1c44ebc513bb2dac1c11ff66f36e6	zh-TW	grammar-or-spelling
十年前跟一起睡過校門口	2529ca5c355a9d694719e401740fd3aaffaa6ea086bf4007789142efe5a1ba22	zh-TW	grammar-or-spelling
五十九點一百二十	243ec22b4d1b62de4d2d2875eb8afb2babc945ea736134b91d8c4047507e7106	zh-TW	different-language
就是名符其實的剝皮酒店了	262d7282b222444a0c627730e8b9b68de37721c37c490d222b8a678f671613a9	zh-TW	offensive-language
跟我們這些人交流	d8be4e630f5c5f7d2ef90504fd2ff386b1f3b40f84fa50960c5eed0b959d4d33	zh-TW	difficult-pronounce
那就是你的元神宮	1a5ff2f5ca6406186bd4ad05ebd957754afc5cce13f5d12c783f2544cd453ade	zh-TW	grammar-or-spelling
由於過去少有籌設公司案例	258a1664dd7a64c95ee71529c14e0e9599e826a053317d32f6999abb693ba52a	zh-TW	different-language
老婆餅裡沒有老婆	0dc7e199cf1b4165d1830f444bf32e8764f21a9e1be4038c37abe71fe45e35d1	zh-TW	difficult-pronounce
同樣可以配合這個概念	f21f14197e18e76ecb0647abf0a81a06cf2e4e96fb72624a063afff70d04d686	zh-TW	different-language
可怕的的是數字還不只這樣	a0dd0e2a28945fb95200c8f07716e31006a22588c669c4e117504c8b71646876	zh-TW	grammar-or-spelling
可怕的的是數字還不只這樣	a0dd0e2a28945fb95200c8f07716e31006a22588c669c4e117504c8b71646876	zh-TW	difficult-pronounce
雖然經歷威權和習慣自由	4d18618bdb3aaae99fa266f571c080f2094411bb0a8261bd1fe1066d50a84591	zh-TW	?? ???????
於是要是你在你的專案裡	cb6fcd920bf2140680f5c13388a6af19c28ea3a008fabc2746ee665ba098e8fc	zh-TW	grammar-or-spelling
貨出去、人進來，高雄發大財！	74f7548161a0d40dd3e5f0a060ee83991d1d91d5794cbf045cb2b00e8de023b0	zh-TW	offensive-language
試著在負能量中尋求轉化成正能量的契機	1225215168184fc3baa2923388018875ae08378011e3014cab74bd1d81b88d9b	zh-TW	difficult-pronounce
中華人民共和國是美好的世界	d0e3da219517bb6846d15429820d2880bc67a76718ec6450be0cb6243cb32341	zh-TW	offensive-language
中華人民共和國是美好的世界	d0e3da219517bb6846d15429820d2880bc67a76718ec6450be0cb6243cb32341	zh-TW	offensive-language
中華人民共和國是美好的世界	d0e3da219517bb6846d15429820d2880bc67a76718ec6450be0cb6243cb32341	zh-TW	offensive-language
中華人民共和國是美好的世界	d0e3da219517bb6846d15429820d2880bc67a76718ec6450be0cb6243cb32341	zh-TW	offensive-language
中華人民共和國是美好的世界	d0e3da219517bb6846d15429820d2880bc67a76718ec6450be0cb6243cb32341	zh-TW	difficult-pronounce
中華人民共和國是美好的世界	d0e3da219517bb6846d15429820d2880bc67a76718ec6450be0cb6243cb32341	zh-TW	offensive-language
中華人民共和國是美好的世界	d0e3da219517bb6846d15429820d2880bc67a76718ec6450be0cb6243cb32341	zh-TW	offensive-language
我已經不想把手機拿出來了	46656676e9db636d00d92ab6230d1401fdcb19a248250cef0b3af40d8c275ebe	zh-TW	offensive-language
只能擁抱小卻幸	872d91a3aac1eabf05e672e1c0eef167a7ad1b555b53ae129eb2828ef3e3ad2a	zh-TW	grammar-or-spelling
該說缺點了	9867147f024e65b1fa87a5cfb09c755d328262d99e9de2fd1399e980408aa8c7	zh-TW	different-language
我們在讓他人性化一點	75f91cbcb26daee674b5a04baecac402c0c8b95f83ae8564cce2f2ea1c6344ef	zh-TW	grammar-or-spelling
當傳來可疑的訊息時，就轉傳給真的假的吧！	a588a700bcef02ad4c41d9647f70724ce16e2075e698b9abd1cd7781510bedf8	zh-TW	grammar-or-spelling
今天是三一八公民運動五週年	f7973327b4b58ec22548aedace659762beed5b101c66935ebf57ea9f3994daf0	zh-TW	offensive-language
臺美雙方	ecac5d2924c33cf576e2f193a3d5e9bd668da92121e195c98ffac234bbcda9cb	zh-TW	offensive-language
可怖嗚呼哀哉	165c2479f213bacdf5db98b8bc833bf39c6eb95954e02fe225c246102439ed86	zh-TW	difficult-pronounce
專家只不過是訓練有素的狗	3191bc8af46feaad03a07de17242cb6233b065b69bbb7855abe9bbd3ac554f66	zh-TW	offensive-language
根據使用者不同	4bff9189509fa0066ece4c7906949b3532bdf03517cea143a09c57d85ba28e68	zh-TW	offensive-language
根據使用者不同	4bff9189509fa0066ece4c7906949b3532bdf03517cea143a09c57d85ba28e68	zh-TW	different-language
移到申報完成時再詢問	50aa584968d63d5744fdda0e5242c0672463602075b39452015a928810de9659	zh-TW	grammar-or-spelling
知道該怎麼做一定最好	a76d76409bdc1b38812b8564c7c02c530d3debe308190d60037aaedfdfb3a382	zh-TW	different-language
蚵仔不是蛤蠣	742ed7fc6d7aa0440952dde5e2060656582995bd7900614778c2ae9c6242135f	zh-TW	grammar-or-spelling
蚵仔不是蛤蠣	742ed7fc6d7aa0440952dde5e2060656582995bd7900614778c2ae9c6242135f	zh-TW	different-language
呈現在手機的上	2d86381734e28e9b1a89917b750104ceb8a8423c64384d1ceae5de945177e96a	zh-TW	grammar-or-spelling
接過打來罵人	ae18939822b6dbc77e5d1378a0ccb682a16d5f45de91a06e48c7447f4f247724	zh-TW	grammar-or-spelling
朕賜你自盡	8b1381984e30f8867df0c9e4d0f10f0ff7f346228b30323fa25e9e3a2a176b7d	zh-TW	grammar-or-spelling
凍蒜凍蒜	be0baa2ca6f29d899a274e3fa26768f8cb882ec3bdf4b27c0b0f3861124222bc	zh-TW	different-language
難怪會得到大眾親睞	65e99bac3baebb2647a849dce0ace78294010c627b4b9531fcb06e7f22de8e7f	zh-TW	grammar-or-spelling
我目前覺得是搶看看	300db978a77400842983597038ce08dc1e0ec81fcf57b6dc4853e02dfa8f71c6	zh-TW	grammar-or-spelling
難怪會得到大眾親睞	65e99bac3baebb2647a849dce0ace78294010c627b4b9531fcb06e7f22de8e7f	zh-TW	grammar-or-spelling
聽我中共的話	026144a4021bbe3c1a358cf65c7fda4ae36214ee022e948f065c32d9fd382f3b	zh-TW	offensive-language
飲料店也在搞意識形態	22aad6ae2c05b55d4a1675272f1990c61fbd2cfe72957ac99d148ffefb3201d6	zh-TW	different-language
這是一隻間諜	11a07c0459d791c669710e77d0102ba318a4da86ca52b7c7e0dff768bfe8c82f	zh-TW	grammar-or-spelling
呈現在手機的上	2d86381734e28e9b1a89917b750104ceb8a8423c64384d1ceae5de945177e96a	zh-TW	grammar-or-spelling
是重組的整齊洋芋片	81d85fa7095f73cf3e6cd670014ff5a811b7fc5754931e33e3c3b46382ecd6dd	zh-TW	grammar-or-spelling
撰寫的句子跟他一樣完美無瑕	9f00eafca8ef6808006efcb041133ed032fb0cf283c1f6479e73abaf78c9be98	zh-TW	grammar-or-spelling
